e, e_dot, e_int, stamp, 
0.7844428515820763, 0.0, 0.0, 1761339453.8284316, 
0.7844428515823889, 0.0, 0.0, 1761339453.8783255, 
0.7844428515827016, 4.167444697560338e-12, 0.07846492149633548, 1761339453.9284577, 
0.7844428515830142, 4.160133406308778e-12, 0.07860240608830653, 1761339453.9785273, 
0.7844428515834405, 4.8483914567461726e-12, 0.07956393848255527, 1761339454.0298853, 
0.7844428515838953, 5.35703375619981e-12, 0.08619748218609749, 1761339454.0884109, 
0.7849118476373427, 0.0015489835480531876, 0.12510530723606206, 1761339454.1893363, 
0.7939006453708037, 0.07819133337639782, 0.11030075236935581, 1761339454.2284305, 
0.8404352079799948, 0.295576487458697, 0.0886608308641676, 1761339454.2992806, 
0.8752661888498094, 0.6090841047870281, 0.0841626799683148, 1761339454.3290393, 
0.8933674164614036, 0.49117321419967325, 0.07782409076225255, 1761339454.3887658, 
1.0397707082265795, 0.5865357576460418, 0.15000706046849868, 1761339454.4892802, 
1.1242446210178692, 0.7816524929628952, 0.19933923217726846, 1761339454.5843635, 
1.31475002134657, 0.9703445532387676, 0.21947652005789473, 1761339454.6785512, 
1.3576662567718545, 0.8027398895052178, 0.26005014317293246, 1761339454.789847, 
1.3383616886172227, 0.06317085976685105, 0.280408683155279, 1761339454.8882926, 
1.2880424555968446, -0.24000216562606105, 0.25828833190643274, 1761339454.9843376, 
1.3905930188225213, 0.18881963967627122, 0.25453833611588766, 1761339455.0783885, 
1.3202178589768785, 0.13226870056354623, 0.2606180374102246, 1761339455.1798573, 
1.2330828036878856, -0.49915560880694926, 0.2758870487770138, 1761339455.2882476, 
1.1173993338368344, -0.665563401807319, 0.25129118466900413, 1761339455.3852332, 
1.0044314779116732, -0.7981488561627733, 0.21359137715111207, 1761339455.4792433, 
0.9361074398351823, -0.6249766726074563, 0.1992659796433288, 1761339455.5807238, 
0.8917367601727921, -0.3619604405907391, 0.19733168562981335, 1761339455.6882606, 
0.9470482298224514, 0.05065696009809175, 0.19008597259194895, 1761339455.78623, 
0.8494779996156354, -0.16517817497941323, 0.17026277001481505, 1761339455.8782673, 
0.8065791734776289, -0.48250393991652424, 0.17594678276236864, 1761339455.9890032, 
0.7676897506597307, -0.2597097652845673, 0.16967162659126944, 1761339456.088279, 
0.7273821894746435, -0.2677396970295727, 0.1513193104307278, 1761339456.1862347, 
0.6746155627936954, -0.3283461932881719, 0.1373814290306094, 1761339456.2782347, 
0.6072386269110375, -0.41633587428040714, 0.12842375284938531, 1761339456.3779848, 
0.5091397995545033, -0.5189709698160209, 0.12599163265347801, 1761339456.4892766, 
0.4115975128849101, -0.6257252928891405, 0.10657803870532447, 1761339456.587238, 
0.3239041365749946, -0.6496377096414866, 0.07881117449390873, 1761339456.6792376, 
0.22163436986933682, -0.6645121004947422, 0.06071543365155388, 1761339456.7775416, 
0.10927798392192578, -0.6735876899559118, 0.046471047246415424, 1761339456.8921418, 
0.13239359299394282, -0.2466260366285619, 0.03253924301231286, 1761339456.9882398, 
-0.01958311142316882, -0.4765146166284195, 0.013850717270216792, 1761339457.0792391, 
-0.17227102870453193, -1.0154315548929782, -0.004002637450155619, 1761339457.1901875, 
-0.31098396542739426, -0.9260837030794535, -0.035179318681393, 1761339457.2891238, 
-0.4465436519363948, -0.9232540029012771, -0.06138220356541574, 1761339457.3882372, 
-0.5577637803338655, -0.8632890243509385, -0.08335330673117741, 1761339457.4792411, 
-0.6641703199871589, -0.7608949008569734, -0.10641358116637809, 1761339457.579574, 
-0.8005326322613797, -0.7716144813109302, -0.14093087921589562, 1761339457.6882892, 
-0.8821396118256977, -0.6902500971182276, -0.16323814385609767, 1761339457.7882435, 
-0.8958367468697923, -0.32177632161654873, -0.16498358486381043, 1761339457.8802416, 
-0.9040112083390932, -0.07689231469664487, -0.17159370489622197, 1761339457.9801836, 
-0.9126081034006095, -0.05372968272400284, -0.1882619331509487, 1761339458.0884607, 
-0.895802210383593, 0.02911952707666407, -0.1890186407123723, 1761339458.1892426, 
-0.8596316870257166, 0.18807478194744442, -0.1705623853672371, 1761339458.2802448, 
-0.8345943413371906, 0.2089237129985151, -0.172833785281314, 1761339458.3894339, 
-0.7945655585769522, 0.21141743756480458, -0.17258768497532215, 1761339458.4882827, 
-0.7606552929570967, 0.24694243873542635, -0.1591688405790715, 1761339458.589243, 
-0.7194788283442577, 0.26616823869669265, -0.1440384899099602, 1761339458.6782484, 
-0.692314911507566, 0.24453183906459866, -0.137047727042544, 1761339458.7784963, 
-0.6799277487186011, 0.12794480378174283, -0.1464194283578441, 1761339458.888247, 
-0.6590925094109528, 0.10638654557368953, -0.14270056303212317, 1761339458.9892452, 
-0.6236374729432974, 0.20150592074544763, -0.12432187494700683, 1761339459.0782778, 
-0.6015458889621228, 0.20617742480136012, -0.11890330956560739, 1761339459.1785538, 
-0.6012320627583017, 0.07438417972361776, -0.1282134605621735, 1761339459.2888765, 
-0.4260294730519121, 0.582796223266553, -0.11439326940664311, 1761339459.3892477, 
-0.5308737933558394, 0.1891779219902371, -0.09835600978885277, 1761339459.478249, 
-0.35165508016868197, 0.14098950412400568, -0.08764916076208674, 1761339459.590192, 
-0.3038968576562664, 0.6933194594562848, -0.08370291984721481, 1761339459.6899006, 
-0.26310710213606825, 0.29650911115129613, -0.06095692762147744, 1761339459.789255, 
-0.20843968880689845, 0.3407306436819959, -0.04878374849510704, 1761339459.8786328, 
-0.15351890108183497, 0.3682762396462937, -0.041824668946826175, 1761339459.9899921, 
-0.1401879446771095, 0.20908777658327096, -0.035281785330936545, 1761339460.0894184, 
-0.09837378802919883, 0.18396307361625677, -0.026074086319842135, 1761339460.189498, 
-0.1228442418982838, 0.04733693065024295, -0.022745052726139605, 1761339460.2782233, 
-0.11968824975999448, -0.08247241772859298, -0.022718101522945292, 1761339460.3894188, 
-0.09696729920716063, 0.08518423565772039, -0.023902223963873988, 1761339460.489436, 
-0.0829020701971439, 0.12226327545962606, -0.020046092722164295, 1761339460.5901756, 
-0.08109676808840138, 0.053260333590543114, -0.016552366271047194, 1761339460.6797175, 
-0.07798424641393442, 0.017054939251470044, -0.015320371272145833, 1761339460.7801108, 
-0.0775109507735583, 0.01177654969881639, -0.016545035910183824, 1761339460.88951, 
-0.0649245059869048, 0.042816541148529154, -0.015488276028155135, 1761339460.9909124, 
-0.07016146712243776, 0.02181727848569338, -0.013511374837532819, 1761339461.0801716, 
-0.06698163366537191, -0.009857598981928733, -0.013372615646555943, 1761339461.1894493, 
-0.06272295833045538, 0.023879768646975424, -0.013949721149547881, 1761339461.2895577, 
-0.05968850330771591, 0.02481407510433356, -0.012324923416029481, 1761339461.384677, 
-0.0741520789804313, -0.04003080180592597, -0.012467248431283077, 1761339461.479836, 
-0.06995567284403093, -0.03797133777481628, -0.01395044419741288, 1761339461.5900357, 
-0.06578346311878702, 0.026715238468460845, -0.014649210143258666, 1761339461.6892188, 
-0.06059679666902351, 0.03202374107521396, -0.012776410684473929, 1761339461.7852583, 
-0.07337811048445797, -0.02731082878129142, -0.012655543061544336, 1761339461.8792815, 
